example_id, text, aspect_term, term_location, class
3042_2,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,internal hard disk,126--144,0
2305_0,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,37--45,-1
1370_0,When we bought our new HP comouter in Dec. of 2008[comma] we wanted Windows XP[comma] but were told it would cost an extra $159[comma] so we went with Vista.,Vista,133--138,0
130_0,but now i have realized its a problem with this brand.,brand,48--53,-1
395_0,The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.,delivery,35--43,-1
773_0,I'm tired of the inept service.,service,23--30,-1
2516_1,Great pick for portability and affordability.,affordability,31--44,1
99_0,After way too many times sending the thing in for repairs (delivery service was slow[comma] and without the laptop I had no access to the internet[comma] and thus no way of tracking it to find out when I might hope to see my computer again)[comma] it finally kicked the bucket after just over 2 years.,delivery service,59--75,-1
1770_0,It has far exceeded my expectations for power[comma] storage[comma] and abilitiy.,power,40--45,1
1187_0,Another included program that is laughable is the chess game.,included program,8--24,-1
1376_1,It seems they could have updated XP and done without creating Vista.,Vista,62--67,-1
460_0,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,30--37,-1
2112_0,Even out of warranty!,warranty,12--20,0
1710_0,The Macbook is also made better[comma] my computer has never got a virus[comma] and the laptop runs just as fast as the first day I bought it.,runs,83--87,1
781_0,The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,4--14,-1
1372_3,_ We have had numerous problems with Vista[comma] such as Adobe Flash player just quits and has to be uninstalled and then reinsalled[comma] Internet Explore just quits and you lose whatever you were working on[comma] also[comma] the same Windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.,Windows update,215--229,-1
387_0,The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,keyboard,4--12,1
388_3,The processor is very quick and effective as I load webpages and applications.,webpages,52--60,0
2226_0,Now I have the best of both worlds with all of the power and ease of the Mac!,power,51--56,1
286_0,The display is beyond horrible.,display,4--11,-1
2644_2,It's so much easier to navigate through the operating system[comma] to find files[comma] and it runs a lot faster!,navigate,23--31,1
1186_0,And if you do a lot of writing[comma] editing is a problem since there is no  forward delete  key.,delete  key,80--91,-1
961_0,_ This time the mouse pad and right click key wouldn't work!,mouse pad,16--25,-1
2071_1,So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all[comma] I just chose to hide the message.,performance,129--140,0
2711_0,Seems to slow down occassionally but can run many applications (ie Internet tabs[comma] programs[comma] etc) simultaneously.,applications,50--62,1
2558_0,We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.,costing,57--64,-1
2752_1,I am using the external speaker- sound is good.,sound,33--38,1
1576_0,The display on this computer is the best I've seen in a very long time[comma] the battery life is very long and very convienent.,display,4--11,1
2435_0,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard,44--52,-1
1399_0,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,graphics,4--12,-1
2159_0,The battery life is also relatively good.,battery life,4--16,1
2863_0,The price and features more than met my needs.,price,4--9,1
2594_0,It made the computer much easier to use and navigate.,use,36--39,1
2336_0,I bought a cordless mouse for it[comma] but don't always take it out;,cordless mouse,11--25,1
1570_0,company provides UPS shipping[comma] fast[comma] great!,shipping,21--29,1
1088_1,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,140--147,-1
1599_0,I do not experience a lot of heat coming out of it[comma] however I would highly suggest purchasing a stand however[comma] due to the nature of the design of the macbook as it is one very large heat sink.,stand,96--101,0
1969_0,I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,16--27,1
2622_1,Reason why? It's because when you buy it[comma] you know first thing that you will not lose any value for that laptop[comma] the price will stay the same for the next year[comma] and even if Apple does decides to change mode[comma] your laptop value will only drop 10-20%[comma] unlike PC laptops which drop more than 80%.,price,117--122,1
926_0,But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.,external dvd drive,37--55,-1
1986_0,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,20--27,-1
2837_0,the mouse is way way way to sensitve.,mouse,4--9,-1
1691_1,The paint wears off easily due to the keyboard being farther back than usual.,keyboard,38--46,-1
878_0,The tech store I purchased this from sent it back[comma][comma][comma][comma][comma]eventually I got a new or repaired machine approximately 3 weeks later.,tech store,4--14,-1
956_0,_ I sent it back and found this time that the battery was faulty[comma] so I got a new one and some other fixes they found.,battery,46--53,-1
1964_0,This computer was so challenging to carry and handle.,carry,36--41,-1
367_0,I am ADDICTED to photo booth!,photo booth,17--28,1
1716_1,There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,iBook,102--107,0
80_0,Great laptop that offers many great features!,features,36--44,1
712_0,I love my Apple[comma] it is quick and easy to use.,use,41--44,1
1192_1,The other lock-up problems are from a myriad of causes[comma] the most common being a corrupted version of Appleworks which can render the browser useless.,browser,133--140,-1
2574_0,I play a lot of casual games online[comma] and the touchpad is very responsive.,touchpad,45--53,1
1819_2,It didn't come with any software installed outside of windows media[comma] but for the price[comma] I was very pleased with the condition and the overall product.,price,81--86,1
1399_1,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,wireless switch,31--46,-1
1377_0,You know[comma] using the computer should be fun[comma] not aggrevation[comma] especially when you are playing games or working with photos.,playing games,85--98,0
1582_0,Crisp screen[comma] great battery life[comma] and plenty of storage.,screen,6--12,1
76_1,I even got my teenage son one[comma] because of the features that it offers[comma] like[comma] iChat[comma] Photobooth[comma] garage band and more!,iChat,77--82,1
277_0,The internet was locekd and froze every time it was trying to be used[comma] and the command prompt would not work at all.,internet,4--12,-1
207_1,Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.,shortcuts,93--102,0
2214_0,The program came with the computer and works beautifully.,program,4--11,1
115_0,The battery life[comma] before the battery completely died of course[comma] left much to be desired.,battery life,4--16,-1
2909_0,Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed[comma] etc.,memory,96--102,-1
2808_3,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,mic,80--83,-1
2649_1,The processor screams[comma] and because of the unique way that Apple OSX 16 functions[comma] most of the graphics are routed through the hardware rather than the software.,OSX 16,64--70,1
634_0,I respond that I do not have the old computer and this way I would lose the data on my hard drive.,hard drive,87--97,-1
1259_0,Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me)[comma] so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.,software,200--208,1
2918_0,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,68--73,0
779_0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,customer service,36--52,-1
1937_0,I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid[comma] (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.,built-in webcam,21--36,-1
1378_0,Windows also shuts the computer down for no reason without warning.,Windows,0--7,-1
2561_2,I wish iWork or MS Office came with the Mac[comma] but MS Office doesn't even come with most pc laptops.,MS Office,49--58,-1
2573_1,I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home[comma] and it runs just fine.,Windows 7 Starter,44--61,0
2447_0,Its fast[comma] has High definition quality in the videos.,High definition quality,14--37,1
899_0,The computer itself was fast[comma] ran smoothly[comma] and had no problems.,ran,30--33,1
908_0,Also[comma] my sister got the exact same laptop (since they were so cheap) and after 8 months[comma] the screen split in half just from everyday use.,screen,93--99,-1
1812_0,The difference is it's a whole lot of fun using the laptop now[comma] still learning the Apple navigation[comma] but is fun and comes with a lot of cool apps.,Apple navigation,83--99,0
462_0,Unable to boot up this brand new laptop.,boot up,10--17,-1
678_1,and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,69--72,0
2510_0,Waiting for the i7 was well worth it[comma] great value for the price.,price,58--63,1
120_0,The DVD drive randomly pops open when it is in my backpack as well[comma] which is annoying.,DVD drive,4--13,-1
1964_1,This computer was so challenging to carry and handle.,handle,46--52,-1
1696_1,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,107--112,-1
255_0,"There is a small red circle next to it with a x in the middle[comma] and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",battery,121--128,0
3062_2,The screen is nice and the images comes very clear[comma] the keyboard and the fit just feels right.,fit,73--76,1
38_1,In the shop[comma] these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it[comma] get it home[comma] break the seal and use it (very clever con).,edge,108--112,-1
1110_0,Going to bring it to service today.,service,21--28,0
219_0,The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,83--94,1
2933_0,The graphics are great.,graphics,4--12,1
3047_0,(Beware[comma] their staff could send you back making you feel that only they know what a computer is.,staff,15--20,-1
2540_1,the programs are esay to use and are quick to process this computer works like a charm.,use,25--28,1
2680_0,Again[comma] decent comp for the price[comma] and I was in need of one quickly as my other laptop died on me.,price,27--32,1
2619_1,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,battery,88--95,1
388_2,The processor is very quick and effective as I load webpages and applications.,load,47--51,1
1225_0,The computer was shipped to their repair depot_ on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,repair depot,34--46,0
2603_0,I am most impressed with the programming[comma] including the iPhoto.,programming,29--40,1
1152_0,Then the hard drive failed;,hard drive,9--19,-1
2242_0,The graphics are stunning.,graphics,4--12,1
1174_1,) I also purchased  Applecare  for $300[comma] which is a three year extended warranty[comma] since I ve never seen any laptop that lasted more than two.,extended warranty,63--80,0
2380_1,previous laptops were pc's[comma] still have them[comma] but the mac osx is a clean and smooth operating system.,operating system,83--99,1
2541_2,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,110--125,1
331_1,It has a 10 hour battery life when you're doing web browsing and word editing[comma] making it perfect for the classroom or office[comma] and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.,battery life,180--192,1
3041_0,Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,0--9,0
1776_0,The Macbook arrived in a nice twin packing and sealed in the box[comma] all the functions works great.,twin packing,30--42,1
1438_4,Externally the keys on my keyboard are falling off[comma] after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit[comma] and the screen has a terrible glare.,paint,73--78,-1
455_1,iTunes is a handy music-management program[comma] and it is essential for anyone with an iPod.,program,35--42,1
1358_0,Because we did not purchase the extended warranty in time[comma] we are on the hook for the repair.,extended warranty,32--49,-1
2672_0,The price is great for this model[comma] I only plan on using it for media in the entertainment room.,price,4--9,1
2923_0,The battery life seems to be very good[comma] and have had no issues with it.,battery life,4--16,1
1028_0,Or the cursor would show up some place else.,cursor,7--13,-1
98_0,It took several weeks just to get them to acknowledge that I owned the warranty.,warranty,71--79,-1
2974_0,It runs very quiet too which is a plus.,runs,3--7,1
2004_1,If you really want a bang-up system and don't need to run Windows applications[comma] go with an Apple;,Windows applications,58--78,0
1457_0,_ i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.,charge,68--74,-1
1992_1,Anyway[comma] in early July of this year[comma] the DVD burner stopped working[comma] and the computer stared having issues with power supply.,power supply,111--123,-1
1717_1,( The iBook backup also uses a firewire connection).,firewire connection,31--50,0
1172_0,I ordered through MacMall[comma] which saved me the sales tax I would have incurred buying locally.,sales tax,46--55,1
1057_0,Acer has set me up with FREE recovery discs[comma] when they are available since I asked.,recovery discs,29--43,1
1733_0,Games being the main issue.,Games,0--5,-1
1366_1,_ After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,hard drive,33--43,-1
1796_0,Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.,internals,95--104,-1
552_0,Overall : Poor[comma] Features: Average[comma] Performance: Poor[comma] Battery Life: Excellent[comma] Price-Value: Poor,Features,16--24,0
1587_0,It is in the best condition and has a really high quality.,quality,50--57,1
697_0,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,57--65,1
1740_1,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Specs,68--73,-1
2795_0,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,51--63,-1
1867_2,I think part of the problem with this computer is Vista[comma] yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).,operating system,211--227,0
1928_1,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,114--125,0
2093_0,"I love a ""pc"" but I was ready for a change and tired of the windows system.",windows system,60--74,-1
1730_0,Its small enough where I can take it pretty much anywhere[comma] but still has a big enough screen to get everything done.,screen,86--92,1
1149_0,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,93--110,-1
490_0,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,55--75,-1
260_0,oh yeah[comma] and if the fancy webcam breaks guess who you have to send it to to get it fixed?,webcam,26--32,-1
392_0,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,66--72,-1
1366_0,_ After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,warrenty,12--20,0
1071_0,I contacted Acer and they are giving me FREE recovery DVDs[comma] so don't go and pay for them[comma] just ask for them and they should give them to you.,recovery DVDs,45--58,1
388_1,The processor is very quick and effective as I load webpages and applications.,applications,65--77,0
1179_1,First[comma] you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer[comma] if it translates at all.,word processing program,32--55,-1
1746_4,Screen[comma] keyboard[comma] and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen[comma] responsive island backlit keyboard[comma] and fun multi-touch mouse is worth the extra money to me alone.,multi-touch mouse,165--182,1
1960_0,All in all[comma] a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.,Customer Service,102--118,1
1819_1,It didn't come with any software installed outside of windows media[comma] but for the price[comma] I was very pleased with the condition and the overall product.,windows media,54--67,0
2954_0,It is loaded with programs that is of no good for the average user[comma] that makes it run way to slow.,programs,18--26,-1
357_0,Keyboard is reasonable size.,Keyboard,0--8,1
2236_3,also you may need to charge it once a day[comma] if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.,charge,21--27,0
1470_0,The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.,fan,156--159,-1
1372_0,_ We have had numerous problems with Vista[comma] such as Adobe Flash player just quits and has to be uninstalled and then reinsalled[comma] Internet Explore just quits and you lose whatever you were working on[comma] also[comma] the same Windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.,Vista,37--42,-1
1745_0,Though the picture[comma] video[comma] and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.,music software,31--45,-1
1373_1,I noticed windows has a new system called Windows 7[comma] what about us Vista users?_ They should get all the bugs out of Vista before investing in a new system.,Vista,67--72,0
2291_0,There is no need to open a program first and the cliick open or import.,program,27--34,1
1595_3,Its pretty fast and does not have hiccups while I am using it for web browsing[comma] uploading photos[comma] watching movies (720p) on occasion and creating presentations.,creating presentations,137--159,1
1376_0,It seems they could have updated XP and done without creating Vista.,XP,33--35,1
1620_0,I will never go back to Windows!,Windows,24--31,-1
400_2,The quality[comma] engineering design and warranty are superior--covers damage from dropping the laptop.,warranty,36--44,1
2660_0,The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,4--8,-1
2534_1,But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,57--71,1
2187_1,Compared to similarly spec'd PCs[comma] this machine is good value[comma] well built and works easily right out of the box.,built,67--72,1
2225_1,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,95--109,0
374_3,Love the graphics[comma] awesome programs (including Garageband)[comma] and really cool default background.,default background,76--94,1
1192_0,The other lock-up problems are from a myriad of causes[comma] the most common being a corrupted version of Appleworks which can render the browser useless.,Appleworks,101--111,-1
1494_0,"I made a photo book as a gift[comma] on my computer[comma] pushed ""Buy"" and it drew from my iTunes account and sent the book to my house[comma] the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes,80--86,0
995_0,It did fairly well[comma] other than it's poor performance[comma] overheating and occational blue screen.,performance,41--52,-1
1564_0,The display is awesome.,display,4--11,1
2749_0,Love that it doesn't take up space like a regular computer.,space,29--34,1
577_1,It gives me the power and speed that I need to run all the programs I use to edit.,speed,26--31,1
1037_0,The driver updates don't fix the issue[comma] very frustrating.,driver updates,4--18,-1
61_0,What I'd like is for the laptop to run well without having to purchase additional memory.,memory,82--88,-1
27_0,The ease of set up was terrific.,set up,12--18,1
2407_1,You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,software,73--81,1
3055_1,It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,45--61,1
515_1,They said that my computer was covered on an extended warranty[comma] and that products with_ extended warranties are taken care of through third parties and not Sony itself anymore.,extended warranties,88--107,0
237_2,I had my IWORKS[comma] Itunes[comma] Email[comma] MS Office[comma] network and printers set up and completely working perfectly within an hour.,MS Office,32--41,1
1574_1,I love the operating system and the preloaded software.,preloaded software,36--54,1
464_0,They went through asking me open up various components[comma] taking battery out[comma] hard disk apart[comma] and after 2 hours on phone could not fix it.,battery,63--70,0
1878_2,1.You can not change your desktop background (window's 7 starter does NOT support that function).,function,87--95,-1
3034_0,:-)If you buy this - don't go into it expecting 7 hrs of battery life[comma] and you'll be perfectly satisfied.,battery life,57--69,-1
2509_1,Not only are the versions of these programs able to be saved[comma] worked on and opened on both a PC and Mac[comma] the versions of these programs on a Mac are graphically and functionally superior.,programs,127--135,1
84_2,While I mostly use it for email[comma] internet and gaming[comma] I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.,gaming,46--52,0
3007_0,the only problem is that i had to add 1 gb RAM[comma] the computer was kinda slow.,RAM,43--46,-1
2976_0,They only stay charged a little over an hour.,charged,15--22,-1
2636_0,the key bindings take a little getting used to[comma] but have loved the Macbook Pro.,key bindings,4--16,-1
2233_0,u can do what u want in just few seconds[comma] even to start up your computer takes few seconds.,start up,50--58,1
823_1,_ It gets stuck all of the time you use it[comma] and you have to keep tapping on it to get it to work.,work,92--96,-1
1926_1,Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,Warrenty,136--144,0
3022_0,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,color reproduction,36--54,1
454_0,The built-in webcam is great for Skype and similar video-chat services.,built-in webcam,4--19,1
2385_0,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,29--41,1
2381_0,still testing the battery life as i thought it would be better[comma] but am very happy with the upgrade.,battery life,18--30,-1
1072_0,Newegg's RMA service was great as always[comma] I contacted them late Friday night[comma] and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.,RMA service,9--20,1
144_1,I thought the price was great for the specs.,specs,38--43,1
1543_0,I wiped nearly everything off of it[comma] installed OpenOffice and Firefox[comma] and I am operating an incredibly efficient and useful machine for a great price.,OpenOffice,47--57,0
496_2,Setting would change for some reason[comma] the screen size would change on it's own[comma] like the pixel sizes and whatnot.,pixel sizes,89--100,-1
156_0,It had a cooling system malfunction after 10 minutes of general use[comma] and would not move past this error.,cooling system,9--23,-1
220_0,Although the price is higher then Dell laptops[comma] the Macbooks are worth the dough.,price,13--18,-1
2511_2,Bigger HD[comma] better graphics card[comma] and a bid HD.,graphics card,18--31,1
1722_0,After talking it over with the very knowledgeable sales associate[comma] I chose the MacBook Pro over the white MacBook.,sales associate,50--65,1
659_0,I reinstalled windows through the recovery discs and everything seemed good again.,windows,14--21,1
458_0,In the first moth of owning this computer its hardrive failed which had to be replaced.,hardrive,46--54,-1
755_0,Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.,BIOS,44--48,-1
1707_0,I love this program[comma] it is superior to windows movie maker.,program,12--19,1
1393_0,the mouse buttons are hard to push.,mouse buttons,4--17,-1
2565_0,I just took the broken cords into the Apple store and they gave me new ones.,cords,23--28,1
162_0,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,10--24,1
2936_0,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,word processer,240--254,1
1432_0,I am constantly trying to uninstall programs[comma] clean cookies[comma] and delete unused files.,programs,36--44,0
1668_0,The only bad part is the size/weight.,size,25--29,-1
1535_0,However[comma] I love this particular Mac because its very fast[comma] great size[comma] and has fantastic features like the lighted keyboard and easy mouse pad.,size,65--69,1
29_0,I had to adjust my mousepad sensitivity[comma] because it is very sensitive.,mousepad sensitivity,19--39,-1
733_0,Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.,windows,74--81,-1
2171_0,I can have both OSX and Windows XP running at the same time!,OSX,16--19,1
113_0,In fact[comma] somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently[comma] behind the front of the screen[comma] in the way of the display.,screen,92--98,-1
1458_0,_ the battery is irreplaceable.,battery,6--13,-1
1694_0,Overall[comma] I experienced a huge change in that my mac runs pretty fast compared to my old PC.,runs,52--56,1
2821_0,Oh yea[comma] has no numeric pad on the side.,numeric pad,15--26,-1
313_2,I also purchased iWork to go with it which has programs for word processing[comma] spreadsheets[comma] and presentations (similar to Microsoft Office).,Microsoft Office,121--137,0
2506_1,I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting[comma] but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.,iLife,170--175,1
1056_0,Before[comma] I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.,drivers,72--79,0
2496_0,Mac is not made for gaming.,gaming,20--26,-1
391_0,I paid for extra memory and the 17-inch screen[comma] as well as the top of the line DVD and CD burners.,memory,17--23,0
1154_0,So[comma] after Apple replaced the hard drive I enjoyed another 4 months of my new computer[comma] until it froze this morning--completely.,hard drive,29--39,0
111_0,The keyboard[comma] which generally felt okay even for someone used to a desktop keyboard[comma] now looks terrible.,desktop keyboard,67--83,0
1771_1,It is easy to navigate and update programs.,navigate,14--22,1
2853_1,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,techs,53--58,-1
1569_0,lightweight[comma] long battery life[comma] excellent transition from PC;,battery life,18--30,1
2378_0,It is fast and i have not had a problem with internet connection or any other problems.,internet connection,45--64,1
835_0,but it  has a major design flaw.,design,20--26,-1
340_0,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,24--36,1
2785_0,Also[comma] the extended warranty was a problem.,extended warranty,10--27,-1
2258_1,[comma] Applications respond immediately (not like the tired MS applications).,MS applications,55--70,-1
2130_0,I also liked the glass screen.,glass screen,17--29,1
2270_0,A great feature is the spotlight search: one can search for documents by simply typing a keyword[comma] rather than parsing tens of file folders for a document.,spotlight search,23--39,1
2754_1,I recommend for word processing and internet users.,internet,36--44,1
2168_0,There is a backlit keyboard which is perfect for typing in the dark.,backlit keyboard,11--27,1
1496_3,All of the programs (Keynote[comma] Pages[comma] Numbers) have an option to save your documents as Microsoft compatible[comma] which really eliminates the need for the actual.,Numbers,37--44,0
141_1,Called Acer many times[comma] they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!,repair center,77--90,0
3006_0,lots of preloaded software.,preloaded software,8--26,1
846_0,I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).,port,123--127,-1
771_0,The rep did not even answer my question[comma] I had to ask him[comma] if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.,rep,4--7,-1
2588_2,Its Office compatible[comma] but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.,programs,150--158,0
1316_0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team[comma] which is the retail shop which I bought my netbook from.",service center,27--41,-1
1922_0,The battery life was supposed to be 6 hours[comma] but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.,battery life,4--16,-1
90_2,The battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.,charge,94--100,-1
301_0,I have not had a problem with the applications quitting or freezing.,applications,34--46,1
2836_1,the mouse on the pad[comma] the left button always sticks.,left button,26--37,-1
2807_2,the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic[comma] not to mention the laptop was designed for right handed person.,touch-pad,43--52,0
62_0,They should have included more memory on their computers if they knew Vista would run slowly.,memory,31--37,-1
713_1,I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful[comma] english speaking (from Vancouver) techs that walked me through the processes to help me.,techs,139--144,1
2753_0,Best thing is I can use existing 32 bit old programs.,programs,44--52,1
811_0,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,SERVICE FACILITY,21--37,-1
2318_0,Wonderful zooming.,zooming,10--17,1
246_1,Very fast boot up and shut down.,shut down,22--31,1
